SKU,Style,Category,Color,Size,MSRP,Unit_Cost,Target_GM_Pct,Launch_Week_Index,End_Week_Index
SKU00001,STY0031,Graphic Tees,Gray,XL,19.01,8.09,0.574,21,80
SKU00002,STY0005,Seasonal Capsule,White,S,51.81,26.64,0.486,82,98
SKU00003,STY0162,Accessories,Red,S,14.69,5.87,0.6,2,36
SKU00004,STY0010,Outerwear,Gray,L,82.12,45.64,0.444,27,52
SKU00005,STY0089,Women's Denim,Red,L,48.26,24.53,0.492,28,83
SKU00006,STY0130,Women's Denim,Black,L,46.01,19.71,0.572,32,91
SKU00007,STY0126,Men's Denim,Gray,XS,69.58,30.98,0.555,70,96
SKU00008,STY0011,Loungewear,Tan,XL,58.66,27.32,0.534,12,43
SKU00009,STY0178,Outerwear,White,S,111.73,56.08,0.498,63,86
SKU00010,STY0159,Activewear,Black,S,46.79,19.29,0.588,13,65
SKU00011,STY0056,Men's Denim,Tan,XL,59.64,31.59,0.47,27,80
SKU00012,STY0083,Seasonal Capsule,Tan,XXL,78.03,35.84,0.541,25,37
SKU00013,STY0137,Loungewear,Tan,XL,52.87,21.2,0.599,61,88
SKU00014,STY0099,Women's Denim,Red,XL,50.06,22.01,0.56,6,66
SKU00015,STY0149,Women's Denim,Pink,L,61.26,27.04,0.559,66,99
SKU00016,STY0073,Women's Denim,Black,L,64.6,29.45,0.544,24,67
SKU00017,STY0156,Aerie Intimates,Navy,XS,24.83,11.24,0.547,30,80
SKU00018,STY0190,Tops & Blouses,Black,M,25.16,11.6,0.539,33,81
SKU00019,STY0115,Graphic Tees,Pink,M,17.03,6.2,0.636,58,98
SKU00020,STY0007,Aerie Intimates,Black,S,27.23,11.26,0.586,17,61
SKU00021,STY0080,Outerwear,Blue,L,118.85,61.46,0.483,35,72
SKU00022,STY0144,Women's Denim,Navy,M,40.88,19.78,0.516,2,58
SKU00023,STY0097,Aerie Intimates,Pink,XS,21.25,7.87,0.63,73,101
SKU00024,STY0004,Graphic Tees,Red,S,24.09,10.82,0.551,3,48
SKU00025,STY0004,Tops & Blouses,Green,L,40.77,17.99,0.559,15,75
SKU00026,STY0103,Accessories,Pink,XS,16.33,5.44,0.667,17,53
SKU00027,STY0040,Women's Denim,White,XL,62.93,30.76,0.511,6,41
SKU00028,STY0017,Tops & Blouses,Pink,M,40.07,17.87,0.554,34,83
SKU00029,STY0101,Outerwear,Blue,M,91.24,47.08,0.484,8,66
